DATA;CLIENTE;NF
18/05/2026;SAO GERALDO - MATRIZ SAO GON«ALO;277472
18/05/2026;SAO GERALDO - MATRIZ SAO GON«ALO;277473
19/05/2026;SAO GERALDO - CARDOSO FONTES;277562
19/05/2026;SAO GERALDO - OCEANICO;277563
19/05/2026;SAO GERALDO - MATRIZ SAO GON«ALO;277577
20/05/2026;SAO GERALDO - CARDOSO FONTES;277654
20/05/2026;SAO GERALDO - OCEANICO;277656
20/05/2026;SAO GERALDO - MATRIZ SAO GON«ALO;277676
27/05/2026;GUSTO - HOSPITAL ALBERT;278184
28/05/2026;BARLETTA - CUMBUCA MARACANA;278260
28/05/2026;IGREJA SANTO ANTONIO NOVA IGUAÕ - MITRA DIOCESANA DE NOVA IGUAÕ;278352
30/05/2026;UFF;278497
02/06/2026;IGREJA SANTO ANTONIO NOVA IGUAÕ - MITRA DIOCESANA DE NOVA IGUAÕ;278653
12/03/2026;SAPORE - CHN;272180
12/03/2026;SAPORE - CHN;272138
25/03/2026;SAPORE - CHN;273207
25/03/2026;SAPORE - CHN;273164
